Country,Date,Confirmed Cases,Confirmed Deaths,New Cases,New Deaths,Income,Region,Population,Case_Change_7_Day_Rolling_Average,Death_Change_7_Day_Rolling_Average,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,cpm_income,dpm_income,Case_7_Day_income,Death_7_Day_income,Case_7_Day_income_per_million,Death_7_Day_income_per_million,cases_region,deaths_region,cpm_region,dpm_region,Case_7_Day_region,Death_7_Day_region,Case_7_Day_region_per_million,Death_7_Day_region_per_million
Bahamas,2022-01-01,24476,717,0,0,High income,Region of the Americas,393248,133.857142857143,0.571428571428571,62240.6216941981,1823.27691431361,340.38861699778,1.4530997523918,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,104619269,2412378,102757.192858056,2369.44105767486,493923.714285714,1723.85714285714,485.132565455264,1.69317490536383
Bahrain,2022-01-01,282677,1394,615,0,High income,Eastern Mediterranean Region,1701583,451.285714285714,0,166125.895710054,819.237145646143,265.215222698931,0,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,16730828,311201,23054.0840537534,428.816434644605,15074.8571428571,164.714285714286,20.7722548859957,0.226966470978669
Bangladesh,2022-01-01,1585909,28076,370,4,Lower middle income,South-East Asia Region,164689383,417.714285714286,2.85714285714286,9629.69786583025,170.478506194901,2.5363765295926,0.017348676673,65425205,1195903,21116.9259280826,385.994893988819,63564.2857142857,1018.42857142857,20.5162874629136,0.328712469542895,45030186,721900,22276.8793122966,357.131084813794,19179.7142857143,351.428571428571,9.48839474896215,0.173855197324903
Barbados,2022-01-01,28810,262,245,2,High income,Region of the Americas,287371,168.714285714286,0.285714285714286,100253.679042075,911.713429678012,587.095725436059,0.994234928765553,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,104619269,2412378,102757.192858056,2369.44105767486,493923.714285714,1723.85714285714,485.132565455264,1.69317490536383
Belarus,2022-01-01,700421,5594,1311,16,Upper middle income,European Region,9449321,1117.14285714286,15.7142857142857,74123.9502817187,592.000208268933,118.224670020508,1.66300686729615,86485520,2265636,32576.837421903,853.405930024016,151316.571428571,1950.14285714286,56.9970018873488,0.734567899997922,103127590,1670417,110776.38095519,1794.3088745313,759700.857142857,3451.71428571429,816.046526083285,3.70772182946151
Belgium,2022-01-01,2105343,28331,0,0,High income,European Region,11589616,9604.57142857143,26,181657.701169737,2444.51584936032,828.722144769199,2.24338752897421,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,103127590,1670417,110776.38095519,1794.3088745313,759700.857142857,3451.71428571429,816.046526083285,3.70772182946151
Belize,2022-01-01,32840,602,0,0,Lower middle income,Region of the Americas,397621,191,1.42857142857143,82591.2112287832,1514.00454201363,480.356922798343,3.59279672998013,65425205,1195903,21116.9259280826,385.994893988819,63564.2857142857,1018.42857142857,20.5162874629136,0.328712469542895,104619269,2412378,102757.192858056,2369.44105767486,493923.714285714,1723.85714285714,485.132565455264,1.69317490536383
Benin,2022-01-01,24935,161,0,0,Lower middle income,African Region,12123198,0,0,2056.80052408614,13.2803242180817,0,0,65425205,1195903,21116.9259280826,385.994893988819,63564.2857142857,1018.42857142857,20.5162874629136,0.328712469542895,7199652,155332,6427.33543622405,138.669322903323,39270.4285714286,164.714285714286,35.0578357332894,0.147045157935934
Bermuda,2022-01-01,6420,110,0,0,High income,,62273,58,0.571428571428571,103094.439002457,1766.41562153742,931.382782265187,9.17618504694766,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,1393809,16145,,,10719.1428571429,13.2857142857143,,
Bhutan,2022-01-01,2660,3,0,0,Lower middle income,South-East Asia Region,771612,0.142857142857143,0,3447.32845005003,3.88796441734965,0.185141162730936,0,65425205,1195903,21116.9259280826,385.994893988819,63564.2857142857,1018.42857142857,20.5162874629136,0.328712469542895,45030186,721900,22276.8793122966,357.131084813794,19179.7142857143,351.428571428571,9.48839474896215,0.173855197324903
Bolivia,2022-01-01,599753,19680,0,0,Lower middle income,Region of the Americas,11673029,3500.85714285714,21.4285714285714,51379.3806217735,1685.93772875918,299.909915657465,1.8357335896768,65425205,1195903,21116.9259280826,385.994893988819,63564.2857142857,1018.42857142857,20.5162874629136,0.328712469542895,104619269,2412378,102757.192858056,2369.44105767486,493923.714285714,1723.85714285714,485.132565455264,1.69317490536383
Bosnia and Herzegovina,2022-01-01,291313,13442,0,0,Upper middle income,European Region,3280815,576.714285714286,24.7142857142857,88792.8761603443,4097.15268919461,175.783848133554,7.53297144590162,86485520,2265636,32576.837421903,853.405930024016,151316.571428571,1950.14285714286,56.9970018873488,0.734567899997922,103127590,1670417,110776.38095519,1794.3088745313,759700.857142857,3451.71428571429,816.046526083285,3.70772182946151
Botswana,2022-01-01,219509,2444,0,0,Upper middle income,African Region,2351625,1502.14285714286,2.42857142857143,93343.5390421517,1039.28134800404,638.768025149782,1.03272053519223,86485520,2265636,32576.837421903,853.405930024016,151316.571428571,1950.14285714286,56.9970018873488,0.734567899997922,7199652,155332,6427.33543622405,138.669322903323,39270.4285714286,164.714285714286,35.0578357332894,0.147045157935934
Brazil,2022-01-01,22295621,619367,3782,33,Upper middle income,Region of the Americas,212559409,8189.14285714286,97.2857142857143,104891.244781359,2913.85360409993,38.5263719713431,0.457687169640721,86485520,2265636,32576.837421903,853.405930024016,151316.571428571,1950.14285714286,56.9970018873488,0.734567899997922,104619269,2412378,102757.192858056,2369.44105767486,493923.714285714,1723.85714285714,485.132565455264,1.69317490536383
British Virgin Islands,2022-01-01,3492,39,0,0,High income,,30237,68,0,115487.647584086,1289.81049707312,2248.90035387108,0,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,1393809,16145,,,10719.1428571429,13.2857142857143,,
Brunei,2022-01-01,15470,98,0,0,High income,Western Pacific Region,437483,5.85714285714286,0,35361.3740419628,224.008704338226,13.388275332168,0,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,11346124,155434,5778.84678970707,79.1661779750802,50357.1428571429,394.428571428571,25.6480727108941,0.200891712779514
Bulgaria,2022-01-01,748184,30983,1076,28,Upper middle income,European Region,6948445,2043.14285714286,65,107676.465741616,4458.98326891844,294.043179033994,9.3546109956976,86485520,2265636,32576.837421903,853.405930024016,151316.571428571,1950.14285714286,56.9970018873488,0.734567899997922,103127590,1670417,110776.38095519,1794.3088745313,759700.857142857,3451.71428571429,816.046526083285,3.70772182946151
Burkina Faso,2022-01-01,17632,318,0,0,Low income,African Region,20903278,84.5714285714286,0.142857142857143,843.504066682747,15.212924977604,4.0458452770627,0.00683419810314645,1568899,38449,2022.53130965288,49.566164759391,12872.2857142857,49.4285714285714,16.5941854025915,0.0637203754388904,7199652,155332,6427.33543622405,138.669322903323,39270.4285714286,164.714285714286,35.0578357332894,0.147045157935934
Burundi,2022-01-01,27366,38,0,0,Low income,African Region,11890781,529.857142857143,0,2301.44680992779,3.19575307963371,44.560331475043,0,1568899,38449,2022.53130965288,49.566164759391,12872.2857142857,49.4285714285714,16.5941854025915,0.0637203754388904,7199652,155332,6427.33543622405,138.669322903323,39270.4285714286,164.714285714286,35.0578357332894,0.147045157935934
Cambodia,2022-01-01,120507,3012,14,0,Lower middle income,Western Pacific Region,16718971,8.85714285714286,0.571428571428571,7207.80004941692,180.154627937329,0.529766027893873,0.0341784534125079,65425205,1195903,21116.9259280826,385.994893988819,63564.2857142857,1018.42857142857,20.5162874629136,0.328712469542895,11346124,155434,5778.84678970707,79.1661779750802,50357.1428571429,394.428571428571,25.6480727108941,0.200891712779514
Cameroon,2022-01-01,109367,1851,0,0,Lower middle income,African Region,26545864,130.857142857143,0,4119.92617757704,69.7283765184663,4.92947386670643,0,65425205,1195903,21116.9259280826,385.994893988819,63564.2857142857,1018.42857142857,20.5162874629136,0.328712469542895,7199652,155332,6427.33543622405,138.669322903323,39270.4285714286,164.714285714286,35.0578357332894,0.147045157935934
Canada,2022-01-01,2218837,30386,18793,9,High income,Region of the Americas,37742157,32372.2857142857,26.1428571428571,58789.3532423173,805.094420014203,857.722194157735,0.692669927234343,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,104619269,2412378,102757.192858056,2369.44105767486,493923.714285714,1723.85714285714,485.132565455264,1.69317490536383
Cape Verde,2022-01-01,42463,352,731,0,Lower middle income,African Region,555988,492.857142857143,0,76373.9505169176,633.107189363799,886.452842250449,0,65425205,1195903,21116.9259280826,385.994893988819,63564.2857142857,1018.42857142857,20.5162874629136,0.328712469542895,7199652,155332,6427.33543622405,138.669322903323,39270.4285714286,164.714285714286,35.0578357332894,0.147045157935934
"Bonaire, Sint Eustatius and Saba",2022-01-01,3429,23,23,0,,,26221,22.4285714285714,0,130773.044506312,877.159528622097,855.366745302293,0,257780,2582,,,1065.85714285714,2.57142857142857,,,1393809,16145,,,10719.1428571429,13.2857142857143,,
Cayman Islands,2022-01-01,8943,12,125,1,High income,,65720,79.5714285714286,0.142857142857143,136077.297626293,182.592818015825,1210.76428136684,2.17372402399791,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,1393809,16145,,,10719.1428571429,13.2857142857143,,
Central African Republic,2022-01-01,12163,101,0,0,Low income,African Region,4829764,28.8571428571429,0,2518.34251114547,20.9119948717991,5.97485567765689,0,1568899,38449,2022.53130965288,49.566164759391,12872.2857142857,49.4285714285714,16.5941854025915,0.0637203754388904,7199652,155332,6427.33543622405,138.669322903323,39270.4285714286,164.714285714286,35.0578357332894,0.147045157935934
Chad,2022-01-01,6183,184,480,3,Low income,African Region,16425859,68.5714285714286,0.428571428571429,376.418670098167,11.2018494740519,4.17460228846653,0.0260912643029158,1568899,38449,2022.53130965288,49.566164759391,12872.2857142857,49.4285714285714,16.5941854025915,0.0637203754388904,7199652,155332,6427.33543622405,138.669322903323,39270.4285714286,164.714285714286,35.0578357332894,0.147045157935934
Channel Islands,2022-01-01,27507,113,0,0,High income,,173859,554.285714285714,0.142857142857143,158214.415129502,649.951972575478,3188.13356964963,0.821683909703512,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,1393809,16145,,,10719.1428571429,13.2857142857143,,
Chile,2022-01-01,1808398,39140,1904,25,High income,Region of the Americas,19116209,1324.71428571429,18.1428571428571,94600.242129598,2047.47709129985,69.2979599519071,0.949082380447773,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,104619269,2412378,102757.192858056,2369.44105767486,493923.714285714,1723.85714285714,485.132565455264,1.69317490536383
China,2022-01-01,132301,5699,230,0,Upper middle income,Western Pacific Region,1471286879,262.285714285714,0,89.9219600802272,3.87347979605003,0.178269593802117,0,86485520,2265636,32576.837421903,853.405930024016,151316.571428571,1950.14285714286,56.9970018873488,0.734567899997922,11346124,155434,5778.84678970707,79.1661779750802,50357.1428571429,394.428571428571,25.6480727108941,0.200891712779514
Colombia,2022-01-01,5169855,129986,12415,44,Upper middle income,Region of the Americas,50882884,6883.85714285714,36.7142857142857,101603.026275004,2554.61148782369,135.288265949256,0.721544905243298,86485520,2265636,32576.837421903,853.405930024016,151316.571428571,1950.14285714286,56.9970018873488,0.734567899997922,104619269,2412378,102757.192858056,2369.44105767486,493923.714285714,1723.85714285714,485.132565455264,1.69317490536383
Comoros,2022-01-01,6688,157,173,0,Lower middle income,African Region,869595,172.714285714286,0.571428571428571,7690.93658542195,180.543816374289,198.614626020487,0.657120350770843,65425205,1195903,21116.9259280826,385.994893988819,63564.2857142857,1018.42857142857,20.5162874629136,0.328712469542895,7199652,155332,6427.33543622405,138.669322903323,39270.4285714286,164.714285714286,35.0578357332894,0.147045157935934
Congo (Brazzaville),2022-01-01,20089,367,0,0,Lower middle income,African Region,5518092,85.5714285714286,0,3640.56996512563,66.5084960526211,15.5074305704632,0,65425205,1195903,21116.9259280826,385.994893988819,63564.2857142857,1018.42857142857,20.5162874629136,0.328712469542895,7199652,155332,6427.33543622405,138.669322903323,39270.4285714286,164.714285714286,35.0578357332894,0.147045157935934
Congo (Kinshasa),2022-01-01,74793,1205,0,0,Low income,African Region,89561404,676.285714285714,11.2857142857143,835.103031658593,13.4544563414839,7.55108432964845,0.126010912978924,1568899,38449,2022.53130965288,49.566164759391,12872.2857142857,49.4285714285714,16.5941854025915,0.0637203754388904,7199652,155332,6427.33543622405,138.669322903323,39270.4285714286,164.714285714286,35.0578357332894,0.147045157935934
Cook Islands,2022-01-01,2,0,0,0,,Western Pacific Region,17564,0,0,113.869278068777,0,0,0,257780,2582,,,1065.85714285714,2.57142857142857,,,11346124,155434,5778.84678970707,79.1661779750802,50357.1428571429,394.428571428571,25.6480727108941,0.200891712779514
Costa Rica,2022-01-01,570556,7353,0,0,Upper middle income,Region of the Americas,5094114,242.285714285714,1.42857142857143,112002.990117614,1443.43059460389,47.5618948232635,0.280435700608865,86485520,2265636,32576.837421903,853.405930024016,151316.571428571,1950.14285714286,56.9970018873488,0.734567899997922,104619269,2412378,102757.192858056,2369.44105767486,493923.714285714,1723.85714285714,485.132565455264,1.69317490536383
Cote d'Ivoire,2022-01-01,71815,718,811,4,Lower middle income,African Region,26378275,1138.28571428571,1.57142857142857,2722.50554670463,27.2193689693507,43.1523939410638,0.0595728330009666,65425205,1195903,21116.9259280826,385.994893988819,63564.2857142857,1018.42857142857,20.5162874629136,0.328712469542895,7199652,155332,6427.33543622405,138.669322903323,39270.4285714286,164.714285714286,35.0578357332894,0.147045157935934
Croatia,2022-01-01,720538,12571,5293,33,High income,European Region,4105268,3919.42857142857,41.7142857142857,175515.459648432,3062.1630548846,954.731474639066,10.161160176214,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,103127590,1670417,110776.38095519,1794.3088745313,759700.857142857,3451.71428571429,816.046526083285,3.70772182946151
Cuba,2022-01-01,966473,8323,469,1,Upper middle income,Region of the Americas,11326616,266.571428571429,0.428571428571429,85327.6035843362,734.817883823377,23.5349577112377,0.0378375525904143,86485520,2265636,32576.837421903,853.405930024016,151316.571428571,1950.14285714286,56.9970018873488,0.734567899997922,104619269,2412378,102757.192858056,2369.44105767486,493923.714285714,1723.85714285714,485.132565455264,1.69317490536383
Curacao,2022-01-01,22141,189,816,0,High income,,164100,465.285714285714,0.428571428571429,134923.826934796,1151.73674588665,2835.37912422739,2.61164794985636,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,1393809,16145,,,10719.1428571429,13.2857142857143,,
Cyprus,2022-01-01,169159,638,2332,0,High income,European Region,1207361,2758.71428571429,1.42857142857143,140106.397340978,528.425218306704,2284.9125371072,1.18321813324385,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,103127590,1670417,110776.38095519,1794.3088745313,759700.857142857,3451.71428571429,816.046526083285,3.70772182946151
Czechia,2022-01-01,2480736,36182,5007,53,High income,European Region,10708982,5155.42857142857,70,231650.029853445,3378.65914799371,481.411638513219,6.53656902215355,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,103127590,1670417,110776.38095519,1794.3088745313,759700.857142857,3451.71428571429,816.046526083285,3.70772182946151
Denmark,2022-01-01,823282,3272,20885,5,High income,European Region,5792203,19749.4285714286,12.1428571428571,142136.247641873,564.897328356758,3409.65752951486,2.09641429053111,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,103127590,1670417,110776.38095519,1794.3088745313,759700.857142857,3451.71428571429,816.046526083285,3.70772182946151
Djibouti,2022-01-01,13668,189,12,0,Lower middle income,Eastern Mediterranean Region,988002,14.2857142857143,0,13833.9800931577,191.29515932154,14.4591957159138,0,65425205,1195903,21116.9259280826,385.994893988819,63564.2857142857,1018.42857142857,20.5162874629136,0.328712469542895,16730828,311201,23054.0840537534,428.816434644605,15074.8571428571,164.714285714286,20.7722548859957,0.226966470978669
Dominica,2022-01-01,6862,47,48,0,Upper middle income,Region of the Americas,71991,48.8571428571429,0.428571428571429,95317.4702393355,652.859385200928,678.656260604004,5.95312509301758,86485520,2265636,32576.837421903,853.405930024016,151316.571428571,1950.14285714286,56.9970018873488,0.734567899997922,104619269,2412378,102757.192858056,2369.44105767486,493923.714285714,1723.85714285714,485.132565455264,1.69317490536383
Dominican Republic,2022-01-01,419927,4247,1149,0,Upper middle income,Region of the Americas,10847904,862.857142857143,1.42857142857143,38710.4273784134,391.504202102084,79.5413697297785,0.131691009486388,86485520,2265636,32576.837421903,853.405930024016,151316.571428571,1950.14285714286,56.9970018873488,0.734567899997922,104619269,2412378,102757.192858056,2369.44105767486,493923.714285714,1723.85714285714,485.132565455264,1.69317490536383
Ecuador,2022-01-01,549418,33681,0,0,Upper middle income,Region of the Americas,17643060,1328,5.71428571428571,31140.7431590665,1909.02258451765,75.2703896036175,0.323882915678217,86485520,2265636,32576.837421903,853.405930024016,151316.571428571,1950.14285714286,56.9970018873488,0.734567899997922,104619269,2412378,102757.192858056,2369.44105767486,493923.714285714,1723.85714285714,485.132565455264,1.69317490536383
Egypt,2022-01-01,386358,21768,783,16,Lower middle income,Eastern Mediterranean Region,102334403,834,28.1428571428571,3775.44587815693,212.714388923537,8.14975194607819,0.275008758714869,65425205,1195903,21116.9259280826,385.994893988819,63564.2857142857,1018.42857142857,20.5162874629136,0.328712469542895,16730828,311201,23054.0840537534,428.816434644605,15074.8571428571,164.714285714286,20.7722548859957,0.226966470978669
El Salvador,2022-01-01,121945,3824,0,0,Lower middle income,Region of the Americas,6486201,29.1428571428571,0.857142857142857,18800.681631667,589.559281311202,4.49305489343564,0.132148673336342,65425205,1195903,21116.9259280826,385.994893988819,63564.2857142857,1018.42857142857,20.5162874629136,0.328712469542895,104619269,2412378,102757.192858056,2369.44105767486,493923.714285714,1723.85714285714,485.132565455264,1.69317490536383
Equatorial Guinea,2022-01-01,13710,175,0,0,Upper middle income,African Region,1402985,11.4285714285714,0,9772.02179638414,124.734049187981,8.14589708982735,0,86485520,2265636,32576.837421903,853.405930024016,151316.571428571,1950.14285714286,56.9970018873488,0.734567899997922,7199652,155332,6427.33543622405,138.669322903323,39270.4285714286,164.714285714286,35.0578357332894,0.147045157935934
Eritrea,2022-01-01,8026,76,15,0,Low income,African Region,3546427,21.8571428571429,0.571428571428571,2263.12285576441,21.4300195661718,6.16314472485768,0.161127966662946,1568899,38449,2022.53130965288,49.566164759391,12872.2857142857,49.4285714285714,16.5941854025915,0.0637203754388904,7199652,155332,6427.33543622405,138.669322903323,39270.4285714286,164.714285714286,35.0578357332894,0.147045157935934
Estonia,2022-01-01,242123,1938,715,6,High income,European Region,1326539,855.714285714286,4.42857142857143,182522.338204908,1460.94460848871,645.072844231708,3.3384404292459,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,103127590,1670417,110776.38095519,1794.3088745313,759700.857142857,3451.71428571429,816.046526083285,3.70772182946151
Eswatini,2022-01-01,66241,1308,132,5,Lower middle income,African Region,1160164,265.714285714286,5.14285714285714,57096.2381180592,1127.4268120714,229.03165907086,4.43287082072633,65425205,1195903,21116.9259280826,385.994893988819,63564.2857142857,1018.42857142857,20.5162874629136,0.328712469542895,7199652,155332,6427.33543622405,138.669322903323,39270.4285714286,164.714285714286,35.0578357332894,0.147045157935934
Ethiopia,2022-01-01,424340,6947,3998,10,Low income,African Region,114963583,4084.28571428571,7.57142857142857,3691.0818967777,60.427831307241,35.5267781997166,0.0658593649732417,1568899,38449,2022.53130965288,49.566164759391,12872.2857142857,49.4285714285714,16.5941854025915,0.0637203754388904,7199652,155332,6427.33543622405,138.669322903323,39270.4285714286,164.714285714286,35.0578357332894,0.147045157935934
Falkland Islands,2022-01-01,83,0,0,0,,,3483,0,0,23830.0315819696,0,0,0,257780,2582,,,1065.85714285714,2.57142857142857,,,1393809,16145,,,10719.1428571429,13.2857142857143,,
Faroe Islands,2022-01-01,6081,14,317,0,High income,,48865,133.714285714286,0.142857142857143,124444.899212115,286.503632456769,2736.40204060751,2.9235064536405,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,1393809,16145,,,10719.1428571429,13.2857142857143,,
Fiji,2022-01-01,54147,700,815,2,Upper middle income,Western Pacific Region,896444,190.285714285714,0.428571428571429,60401.9883004404,780.863054468545,212.267262969817,0.478079421103191,86485520,2265636,32576.837421903,853.405930024016,151316.571428571,1950.14285714286,56.9970018873488,0.734567899997922,11346124,155434,5778.84678970707,79.1661779750802,50357.1428571429,394.428571428571,25.6480727108941,0.200891712779514
Finland,2022-01-01,260292,1564,0,0,High income,European Region,5540718,4271.42857142857,8.14285714285714,46978.0270354853,282.273885803248,770.916074672736,1.46963933967712,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,103127590,1670417,110776.38095519,1794.3088745313,759700.857142857,3451.71428571429,816.046526083285,3.70772182946151
France,2022-01-01,9980940,121311,219126,110,High income,European Region,65273512,156641.285714286,183.857142857143,152909.498725915,1858.50272619007,2399.7680056542,2.81671902160164,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,103127590,1670417,110776.38095519,1794.3088745313,759700.857142857,3451.71428571429,816.046526083285,3.70772182946151
French Guiana,2022-01-01,47631,338,0,0,,,298682,88.4285714285714,0.142857142857143,159470.607535774,1131.63833106782,296.062606479706,0.478291771372707,257780,2582,,,1065.85714285714,2.57142857142857,,,1393809,16145,,,10719.1428571429,13.2857142857143,,
French Polynesia,2022-01-01,46382,636,0,0,High income,,280904,0.857142857142857,0,165116.908267593,2264.11870247487,3.05137291438661,0,135710054,1940237,107442.651563436,1536.09995572978,1159406.85714286,3243.57142857143,917.910967541567,2.5679594440447,1393809,16145,,,10719.1428571429,13.2857142857143,,
